;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Indicadores de atendimento e aprendizagem VAAR para o Fundeb 2026;;;;;;
;;;;;;
UF;Ente Federado;"Código
IBGE";"Evoluiu
Atendiment";"Indicador
Atendimento";"Evoluiu
Aprendizagem";"Indicador
Aprendizagem"
RS;NOVO TIRADENTES;4313441;Sim;0,997449;Sim;2,68
RS;NOVO XINGU;4313466;Não;0,980828;Não;0,00
RS;OSORIO;4313508;Sim;0,991186;Não;1,231837
RS;PAIM FILHO;4313607;Sim;0,998403;Não;1,135814
RS;PALMARES DO SUL;4313656;Não;0,9611;Não;0,817459
RS;PALMEIRA DAS MISSOES;4313706;Sim;0,993479;Sim;1,364172
RS;PALMITINHO;4313805;Sim;0,993421;Não;1,879845
RS;PANAMBI;4313904;Sim;0,997016;Sim;2,34
RS;PANTANO GRANDE;4313953;Sim;0,990415;Sim;1,101379
RS;PARAI;4314001;Sim;0,997845;Sim;1,679581
RS;PARAISO DO SUL;4314027;Sim;0,990196;Não;0,695065
RS;PARECI NOVO;4314035;Não;0,986289;Sim;2,03
RS;PAROBE;4314050;Sim;0,987966;Não;1,462558
RS;PASSA SETE;4314068;Sim;0,993435;Sim;0,864141
RS;PASSO DO SOBRADO;4314076;Sim;0,98958;Sim;1,55006
RS;PASSO FUNDO;4314100;Não;0,985064;Não;1,522976
RS;PAULO BENTO;4314134;Sim;0,997207;Sim;1,726128
RS;PAVERAMA;4314159;Sim;0,979218;Sim;1,185646
RS;PEDRAS ALTAS;4314175;Não;0,928832;Não;0,18912
RS;PEDRO OSORIO;4314209;Sim;0,995088;Sim;0,564841
RS;PEJUCARA;4314308;Sim;0,997487;Sim;1,490967
RS;PELOTAS;4314407;Sim;0,988963;Não;0,856495
RS;PICADA CAFE;4314423;Sim;0,997436;Sim;4,05
RS;PINHAL;4314456;Sim;0,998452;Sim;2,93
RS;PINHAL DA SERRA;4314464;Sim;0,98855;Sim;2,47
RS;PINHAL GRANDE;4314472;Sim;0,996805;Não;0,839723
RS;PINHEIRINHO DO VALE;4314498;Sim;0,998599;Não;2,29
RS;PINHEIRO MACHADO;4314506;Sim;0,991095;Não;0,719896
RS;PINTO BANDEIRA;4314548;Sim;0,987106;Não;0,00
RS;PIRAPO;4314555;Sim;0,987603;Não;0,00
RS;PIRATINI;4314605;Sim;0,989378;Não;0,497205
RS;PLANALTO;4314704;Sim;0,991985;Não;2,30
RS;POCO DAS ANTAS;4314753;Sim;1,00;Sim;3,57
RS;PONTAO;4314779;Sim;0,997297;Não;1,352373
RS;PONTE PRETA;4314787;Sim;1,00;Não;0,00
RS;PORTAO;4314803;Sim;0,991968;Não;2,28
RS;PORTO ALEGRE;4314902;Não;0,983729;Não;0,563439
RS;PORTO LUCENA;4315008;Sim;0,995098;Não;0,00
RS;PORTO MAUA;4315057;Sim;1,00;Sim;2,63
RS;PORTO VERA CRUZ;4315073;Sim;1,00;Não;0,00
RS;PORTO XAVIER;4315107;Sim;0,998705;Sim;1,088055
RS;POUSO NOVO;4315131;Sim;1,00;Não;0,00
RS;PRESIDENTE LUCENA;4315149;Sim;0,996721;Sim;3,43
RS;PROGRESSO;4315156;Sim;0,996193;Sim;2,97
RS;PROTASIO ALVES;4315172;Sim;0,994382;Sim;3,99
RS;PUTINGA;4315206;Sim;0,981715;Sim;3,98
RS;QUARAI;4315305;Sim;0,991245;Sim;2,08
RS;QUATRO IRMAOS;4315313;Sim;0,993464;Não;1,038456
RS;QUEVEDOS;4315321;Sim;0,991477;Não;0,00
RS;QUINZE DE NOVEMBRO;4315354;Sim;0,991933;Sim;3,46
RS;REDENTORA;4315404;Sim;0,995652;Sim;0,755084
RS;RELVADO;4315453;Sim;1,00;Não;0,00
RS;RESTINGA SECA;4315503;Sim;0,991919;Não;1,095297
RS;RIO DOS INDIOS;4315552;Sim;1,00;Sim;0,446434
RS;RIO GRANDE;4315602;Sim;0,984064;Não;1,364867
RS;RIO GRANDE DO SUL;43;Sim;0,968757;Não;0,913052
RS;RIO PARDO;4315701;Sim;0,991126;Sim;1,703383
RS;RIOZINHO;4315750;Sim;1,00;Sim;1,289716
RS;ROCA SALES;4315800;Sim;0,98551;Sim;2,14
RS;RODEIO BONITO;4315909;Sim;0,989142;Sim;2,42
RS;ROLADOR;4315958;Sim;0,99422;Não;0,00
RS;ROLANTE;4316006;Sim;0,991614;Sim;2,56
RS;RONDA ALTA;4316105;Sim;0,992188;Sim;1,018947
RS;RONDINHA;4316204;Sim;1,00;Sim;2,92
RS;ROQUE GONZALES;4316303;Sim;0,992012;Sim;1,640573
RS;ROSARIO DO SUL;4316402;Sim;0,995295;Sim;0,955572
RS;SAGRADA FAMILIA;4316428;Sim;0,991667;Não;0,00
RS;SALDANHA MARINHO;4316436;Sim;1,00;Sim;1,629541
RS;SALTO DO JACUI;4316451;Sim;0,971028;Sim;1,067597
RS;SALVADOR DAS MISSOES;4316477;Sim;0,992386;Não;0,00
RS;SALVADOR DO SUL;4316501;Sim;0,994689;Não;3,31
RS;SANANDUVA;4316600;Sim;0,995932;Sim;1,639872
RS;SANTA BARBARA DO SUL;4316709;Sim;0,985577;Sim;1,457901
RS;SANTA CECILIA DO SUL;4316733;Sim;0,990991;Sim;2,77
RS;SANTA CLARA DO SUL;4316758;Sim;0,999002;Sim;2,56
RS;SANTA CRUZ DO SUL;4316808;Sim;0,9874;Sim;2,07
RS;SANTA MARGARIDA DO SUL;4316972;Sim;0,998377;Sim;1,737483
RS;SANTA MARIA;4316907;Sim;0,987994;Não;1,530742
RS;SANTA MARIA DO HERVAL;4316956;Sim;0,997917;Não;2,80
RS;SANTA ROSA;4317202;Sim;0,996401;Não;2,45
RS;SANTA TEREZA;4317251;Sim;1,00;Não;0,00
RS;SANTA VITORIA DO PALMAR;4317301;Sim;0,986381;Sim;0,833655
RS;SANTANA DA BOA VISTA;4317004;Sim;0,986207;Sim;1,287171
RS;SANTANA DO LIVRAMENTO;4317103;Sim;0,987824;Sim;0,982688
RS;SANTIAGO;4317400;Sim;0,995435;Não;1,316792
RS;SANTO ANGELO;4317509;Sim;0,991919;Sim;1,739223
RS;SANTO ANTONIO DA PATRULHA;4317608;Sim;0,994157;Sim;2,15
RS;SANTO ANTONIO DAS MISSOES;4317707;Sim;0,988801;Sim;1,775393
RS;SANTO ANTONIO DO PALMA;4317558;Sim;0,994048;Sim;2,84
RS;SANTO ANTONIO DO PLANALTO;4317756;Sim;1,00;Não;3,90
RS;SANTO AUGUSTO;4317806;Sim;0,99412;Não;1,576013
RS;SANTO CRISTO;4317905;Sim;0,997715;Não;1,433088
RS;SANTO EXPEDITO DO SUL;4317954;Sim;1,00;Não;0,00
RS;SAO BORJA;4318002;Não;0,988262;Sim;1,750664
RS;SAO DOMINGOS DO SUL;4318051;Sim;1,00;Não;0,00
RS;SAO FRANCISCO DE ASSIS;4318101;Sim;0,988644;Sim;0,916686
RS;SAO FRANCISCO DE PAULA;4318200;Sim;0,990226;Sim;0,839681
RS;SAO GABRIEL;4318309;Não;0,980543;Sim;1,240856
RS;SAO JERONIMO;4318408;Sim;0,980375;Não;0,518995
RS;SAO JOAO DA URTIGA;4318424;Sim;0,99705;Sim;1,70981
RS;SAO JOAO DO POLESINE;4318432;Sim;0,991736;Não;0,00
RS;SAO JORGE;4318440;Sim;1,00;Sim;4,80
